Site ID,Subject,Activity,Work Period,Time at Work,Interval Length,Break/Work Start Time,Interval Start Time,Mean,STDEV,Variance,Mode,Median,Max,Min,Range
K,716,Ladder,End_Lunch,15 before end of lunch,15 min,9:52 AM,9:37 AM,97.67827875,2.479294434,6.146900888,#N/A,97.4016395,104.893443,94.754098,10.139345
K,716,Ladder,End_Work,15 before end of work,15 min,14:35,14:20,142.9211552,3.188082571,10.16387048,#N/A,142.622951,148.47541,136.557377,11.918033
K,717,Platform,Start_Work,10 min before start of work,10 min,7:29 AM,6:43 AM,60.3442621,1.803982361,3.254352358,#N/A,59.864754,63.754098,58.221311,5.532787
K,717,Platform,Start_Lunch,15 before start of lunch,15 min,9:11 AM,8:56 AM,80.123463,5.582586635,31.16527354,82.696721,81.52459,86.590164,65.696721,20.893443
K,717,Platform,End_Lunch,15 before end of lunch,15 min,9:44 AM,9:29 AM,79.60297131,8.069185961,65.11176207,#N/A,79.9016395,94.491803,67.172131,27.319672
K,717,Platform,End_Work,15 before end of work,15 min,14:55,14:40,104.8729509,9.598153355,92.12454783,#N/A,104.495902,118.483607,90.229508,28.254099
K,718,Platform,Start_Work,10 min before start of work,10 min,7:29 AM,6:35 AM,77.1696722,2.567282769,6.590940816,#N/A,77.3811475,82.188525,73.245902,8.942623
K,718,Platform,Start_Lunch,15 before start of lunch,15 min,9:10,8:55 AM,98.12551238,7.663095742,58.72303635,#N/A,97.0163935,110.5,86.737705,23.762295
K,718,Platform,End_Lunch,15 before end of lunch,15 min,9:43 AM,9:28 AM,82.79508188,10.98438337,120.656678,#N/A,80.295082,105.163934,67.622951,37.540983
K,718,Platform,End_Work,15 before end of work,15 min,14:56,14:41,113.2330943,5.927067222,35.13012585,#N/A,114.3401635,126.098361,98.983607,27.114754
K,719,Platform,Start_Work,10 min before start of work,10 min,7:29 AM,6:35 AM,88.3959017,3.150487713,9.925572832,#N/A,87.3237705,96.434426,86.04918,10.385246
K,719,Platform,Start_Lunch,15 before start of lunch,15 min,9:11 AM,8:56 AM,124.3790984,5.85824627,34.31904936,#N/A,125.9713115,131.737705,112.065574,19.672131
K,719,Platform,End_Lunch,15 before end of lunch,15 min,9:44 AM,9:29 AM,103.6588115,8.483645347,71.97223837,#N/A,99.8442625,121.647541,95.844262,25.803279
K,719,Platform,End_Work,15 before end of work,15 min,14:56,14:41,127.5371263,5.038285661,25.3843224,#N/A,127.45082,137.368852,119.163934,18.204918
K,720,Platform,Start_Work,10 min before start of work,10 min,7:29,6:49 AM,67.5262294,5.017300805,25.17330737,#N/A,65.311475,77.311475,62.188525,15.12295
K,720,Platform,Start_Lunch,15 before start of lunch,15 min,9:12 AM,8:57 AM,81.68545081,6.65587551,44.30067881,#N/A,81.5,91.622951,66.983607,24.639344
K,720,Platform,End_Lunch,15 before end of lunch,15 min,9:44 AM,9:29 AM,73.16905744,8.190427009,67.08309459,#N/A,70.3360655,98.270492,65.983607,32.286885
K,720,Platform,End_Work,15 before end of work,15 min,14:53,14:38,88.99282781,7.083171322,50.17131597,#N/A,89.3606555,101.122951,78.557377,22.565574
K,721,Ground,Start_Work,10 min before start of work,10 min,?,6:44 AM,80.417213,4.607352171,21.22769403,#N/A,80.5696725,86.581967,73.52459,13.057377
K,721,Ground,Start_Lunch,15 before start of lunch,15 min,8:45 AM,8:30 AM,104.5060109,4.189002884,17.54774516,#N/A,103.92623,110.877049,96.106557,14.770492
K,721,Ground,End_Lunch,15 before end of lunch,15 min,9:17 AM,9:02 AM,86.79098356,6.912838872,47.78734127,#N/A,85.1434425,98.229508,75.786885,22.442623
K,721,Ground,End_Work,15 before end of work,15 min,11:00 AM,10:45 AM,104.3263319,4.747026199,22.53425774,#N/A,105.036885,111.836066,96.090164,15.745902
K,722,Ground,Start_Work,10 min before start of work,10 min,?,6:38 AM,79.612295,3.496272856,12.22392388,#N/A,80.6065575,83.172131,73.098361,10.07377
K,722,Ground,Start_Lunch,15 before start of lunch,15 min,8:48 AM,8:33 AM,113.8719262,2.104401027,4.428503681,#N/A,113.77459,118.516393,109.606557,8.909836
K,722,Ground,End_Lunch,15 before end of lunch,15 min,9:18 AM,9:03 AM,84.85758206,5.977160103,35.7264429,#N/A,84.069672,92.532787,71.836066,20.696721
K,722,Ground,End_Work,15 before end of work,15 min,11:00 AM,10:45 AM,117.9718238,4.404125018,19.39631717,#N/A,119.2008195,123.188525,107.92623,15.262295
K,723,Ground,Start_Work,10 min before start of work,10 min,?,6:48 AM,87.0737707,6.902240568,47.64092485,#N/A,89.4467215,97.729508,76.598361,21.131147
K,723,Ground,Start_Lunch,15 before start of lunch,15 min,8:48 AM,8:33 AM,115.088627,8.109145485,65.7582405,#N/A,115.3114755,127.827869,97.959016,29.868853
K,723,Ground,End_Lunch,15 before end of lunch,15 min,9:14 AM,8:59 AM,87.6101435,7.004638798,49.06496469,#N/A,88.8237705,100.598361,76.52459,24.073771
K,723,Ground,End_Work,15 before end of work,15 min,11:00 AM,10:45 AM,92.82633194,3.416442532,11.67207958,#N/A,92.6967215,101.008197,88.319672,12.688525
K,724,Ground,Start_Work,10 min before start of work,10 min,?,6:39 AM,90.9819672,4.956841034,24.57027304,#N/A,90.463115,100.967213,83.122951,17.844262
K,724,Ground,Start_Lunch,15 before start of lunch,15 min,8:45 AM,8:30 AM,123.2102218,5.028831283,25.28914407,#N/A,122.229508,132.483607,114.286885,18.196722
K,724,Ground,End_Lunch,15 before end of lunch,15 min,9:13 AM,8:58 AM,98.37448769,8.285007418,68.64134792,#N/A,97.245902,123.02459,88.745902,34.278688
K,724,Ground,End_Work,15 before end of work,15 min,11:00 AM,10:45 AM,117.6080943,4.186085471,17.52331157,#N/A,117.758197,123.008197,110.762295,12.245902
